Process,Processpath,DLL,DllHash,Signature
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\ucrtbase.dll,E2267734B6FF4A08D6C619B9E9D173B9ACD46681602D88979A4866A4CA63DD46,NULL
lsass,C:\windows\system32\lsass.exe,c:\windows\system32\USERENV.dll,FDE8CCBA098FA7873A641E6980592DEB58894643742CB0EE12DC50E375DB4307,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\wdigest.DLL,EA0EC796607087FE8EA482B246AFCFE30B49B87ABBC706D8FCD949261EA00B1A,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\wevtapi.dll,DC71FD456589F93B8ADBA5E5D8853796569137B1A38A28D8C8B90A47BC96C954,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\winbio.dll,3EBA9FBAA11E8D69A069E2A56778456BA22B7146EC97EB18F743D9007888B47B,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\WINSTA.dll,C13DA4DE69EA8D9AFE2161C6F796B82685BB2CD1215C82FE0C12B4BFFE113F78,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\WINTRUST.dll,A19845AB7773F5A5F9AFC16F3CF3658E86009FA576B0E5E0AB2A536AAA4103B2,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\WLDAP32.dll,F7378B11FD894AC1931F8E49AEEBEC341F6DC02D1A08A758F2EE93C305D46892,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\WLDP.DLL,789309508D3B45B0D3EC21E5DB2C3E0A66197500BA29E2E88FB21358A6155315,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\WS2_32.dll,ED88BF9360F25B96C6BF5E5E54B7959FFF07B11DC75A4F036F21AB67B596672A,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\advapi32.dll,FAE7F170429952777D45641E68F4E0B8E5CE31A38159179CB17B2CB84D8E63F0,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\bcrypt.dll,4682B99FD63617241BDE436554C5B9D2BA0247BE4ED958EF05785D1A12E50E01,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\bcryptPrimitives.dll,045679986C4ECB5D3148B3303076EDF2FEC47F52C775F9F077106830426DC6D0,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\cfgmgr32.dll,DF1C3927C42A1C7B8B5EA009783BB3FCB1FF48FC8542A1EF5D18ECAF78AD5D3E,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\clbcatq.dll,C5D4F3DFA14DEABD6A845E6F0B04C39A9A539C1A4D6C71B25943EB9BF9C9A3F5,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\CLUSAPI.dll,C9E202B5AC870B251910E84F3C03A6BEB52CB1784E16A7D71E01C01FDC4FF9F1,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\combase.dll,8BADF8E4E018394A9003BE5428A7420A534E7265CC6F545AF1EF2AFB532ED4E4,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\COMRES.DLL,241C93B5071937374466EF697ACFC38A3C84A623EA49443025280EF1423E90FB,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\CRYPTSP.dll,78D6A1CD068F5DE2A3DE7F83A975667FA332AA65EC59DD5991CEA1D021BD47C5,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\cscapi.dll,96096A8894EE7B2161432B027612AA5B79965189A88B333C57F0E65CF30297F2,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\SYSTEM32\DNSAPI.dll,96D581035FF077D1B44BCBBC7F0671579501ADB6637646483BB980E57C07FA51,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\FirewallAPI.DLL,EDED3A84076DE4379FD55373D74EDCF94589442957EDF774C638A584A4E094AF,NULL
msdtc,C:\windows\System32\msdtc.exe,c:\windows\system32\fwbase.dll,DF0702AD8B173DC3368168DB16535DB42E14614BC550805A5DF33D486ED030AC,NULL
msdtc,C:\windows\System32\msdtc.exe,c:\windows\system32\FWPolicyIOMgr.dll,16F1A03C983DFE7983F84C8D60ABEB186165BCE8B1E53EE24AF9841917F47760,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\GDI32.dll,9E349F813AF29D06EAB70B2D5C547762A101E0C6924C4FE69D52E596E0EE44F7,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\gdi32full.dll,B547E08FD901CAD611C12DB4DF8E1C5E49A6D52942E71B83897D17D2AA438481,NULL
msdtc,C:\windows\System32\msdtc.exe,c:\windows\system32\IPHLPAPI.DLL,0ECEB84EDC1DD0D456048CFAE5970DCF0B3083CEC2462AB6BD60632F151E298F,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\kernel.appcore.dll,CA954AC516F91F28301378214335FF808D0E9331018A6474DFAA25D18D0FD6A8,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\KERNEL32.DLL,A4E40C348031047B966C18F2761EE0460A226905721D2F29327528CB2B213CB1,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\KERNELBASE.dll,E91161625A4EAEDD062532C55486F1336C60267EBD50043A209843C4D1902EF8,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\ktmw32.dll,61C3BD3F278EA73886C0A0BEAE617469485AF77945C670F492B07136AC079B1E,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\msdtc.exe,1EAB4B9691E9EFA1DA02BDCB84035F65EDA4B525E5AEE925A6E1E4107F8E4F31,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\MSDTCLOG.dll,AF0040BD431F685E1EABDE9BCEEDBF532F5A42F6954FCEE7BADEC58BD3713C52,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\MSDTCPRX.dll,5E4A36851DD4BD34559233E7D96CEB10B15A0DAF827D8324789EFC6FCA66F595,NULL
